#Ω≈»£≈∫,≈ıπ⁄,ΩÃΩÃ,»≠∑¡,¡¯¡÷
21.7,95.3,2.1,10.1,2.1
20.9,105.2,2.3,9.9,2.4
18.9,106.3,2.2,10.2,2.4
18.4,97.3,2.5,10.5,2.3
17.8,95.7,2,10.3,2.4
18.5,105.3,2.3,10.4,2
19,86.3,2.2,9.6,2.8
18.9,100.5,2.1,9.5,2.1
19.4,95.2,2.4,10,2.3
19.7,84.8,2.2,10.5,2.4
19.6,92.9,2.1,10.2,2.7
20,100.6,2.4,10.5,2.2
20.4,92.6,2.5,10.1,2.4
20.5,96.4,2.3,9.9,2.3
20.8,106.4,2.4,10.1,2.7
21.3,107.4,2.4,9.8,2.3
21.7,104.6,2.3,10.1,2.1
21.5,114.3,2.2,10.5,2.4
22.1,114.5,2.3,10.3,2.3
22.5,107.5,2.5,10.5,2.2
22.3,105.7,2.1,10.1,2.4
21.8,94.6,2.4,9.9,2.2
21.7,107.4,2.1,9.9,2.7
21.6,103.5,2.3,9.5,2.3
22.3,105.6,2.2,10.1,2.4
22.9,90.2,2.3,10.3,2.2
22.5,100.3,2.2,10.7,2
22.8,105.7,2.1,11,2.3
22.7,116.7,2.4,10.4,2.4
23.1,108.9,2.2,10.1,2.5
23.4,104.5,2.5,10.6,2.7
23.8,106.1,2.3,9.9,2.2
23.7,105.8,2.3,9.9,2.2
23.6,108.7,2.4,10.1,2.4
24.1,115,2.5,10.6,2.7
24.3,115.2,2.5,10.6,2
23.9,106.9,2.3,10.1,2.3
22.4,97.3,2,9.4,2.3